,0
EmpEnvironmentSatisfaction,0.3955609960685303
EmpLastSalaryHikePercent,0.3337218215622465
YearsSinceLastPromotion,-0.16762909785906435
EmpDepartment,-0.16261520687364556
ExperienceYearsInCurrentRole,-0.14763779523720286
EmpWorkLifeBalance,0.12442896010503177
YearsWithCurrManager,-0.12231281881984081
ExperienceYearsAtThisCompany,-0.1116453423612702
EmpJobRole,-0.09620932750577874
EmpJobLevel,-0.0766315895825676
TotalWorkExperienceInYears,-0.06814118450453537
OverTime,0.05020606690102586
DistanceFromHome,-0.046142192028541675
EmpHourlyRate,-0.043116189204810904
Age,-0.04016414988720254
Attrition,-0.0397958513319972
BusinessTravelFrequency,-0.03102479078234479
MaritalStatus,0.024171752717448206
NumCompaniesWorked,0.020979618743500406
EmpEducationLevel,0.02052904245646555
